"","Country","Region","Score","Economy","Family","Health","Freedom","Trust","Generosity"
"1","Switzerland","Western Europe",6.67283436385479,3.36035588424031,4.23432644014143,3.91999916403038,4.42663359850856,3.77116703510482,2.25614164433358
"2","Iceland","Western Europe",6.64996713129117,3.13371094740736,4.39974476970124,3.9466896185957,4.18188080552643,1.27074080974695,3.31678212623068
"3","Denmark","Western Europe",6.6200638271695,3.18943975871483,4.26906052413663,3.64189378799011,4.31895567137865,4.34423565478497,2.59526988327731
"4","Norway","Western Europe",6.61566628244573,3.51072261215932,4.17609115568335,3.68590597281936,4.45430130554132,3.27931083621018,2.63784146225254
"5","Canada","North America",6.53211293269402,3.19138882335901,4.14992292980079,3.77093235070141,4.20981454820374,2.96074972547404,3.48258322220384
"6","Finland","Western Europe",6.51364324485417,3.10466747795652,4.13627403500592,3.70214509494179,4.26781031871472,3.71672596541894,1.77515882259025
"7","Netherlands","Western Europe",6.48901699440103,3.19896851919746,4.01675991943436,3.71767635789478,4.09535271213791,2.8580663217596,3.61934441966176
"8","Sweden","Western Europe",6.47670386917447,3.20443071270644,4.04468524441695,3.79275106863001,4.38825795678283,3.93880240809795,2.75666177999947
"9","New Zealand","Australia and New Zealand",6.40810217148359,3.00824893438612,4.14069815952564,3.78234137496179,4.2524467602422,3.8559729258366,3.61105816589694
"10","Australia","Australia and New Zealand",6.40634315359408,3.20893040515657,4.10794081201797,3.87890169342823,4.33132632885003,3.20151221187361,3.31161272021226
"11","Israel","Middle East and Northern Africa",6.40106609992555,2.95624981468169,3.84029696696008,3.80524270103188,2.74808169924689,0.699379088291271,2.5217578888683
"12","Costa Rica","Latin America and Caribbean",6.3553316347983,2.29984815507172,3.88406756061258,3.58205886878516,4.21506875218352,0.950742311032309,1.93829919487746
"13","Austria","Western Europe",6.33246440223468,3.21771322731858,4.06969252982271,3.70759977442394,4.15235084898185,1.6777911179098,2.51537215202202
"14","Mexico","Latin America and Caribbean",6.32103078595286,2.45567707649971,2.86943696065516,3.39122836445928,3.20446584746519,1.91460078736847,1.06991500445956
"15","United States","North America",6.26122417770954,3.35554337894606,3.9130283189934,3.58838796253544,3.6316525836946,1.42750593615264,3.04880924071697
"16","Brazil","Latin America and Caribbean",6.14161096122288,2.36111134746759,3.86834779902125,2.90230587225015,3.26219558233163,1.57402967321148,1.1079253428303
"17","Luxembourg","Western Europe",6.10906913026695,3.76316257736949,3.82680495601344,3.82635355979104,4.09581827451587,3.39564942572042,2.13116365177059
"18","Ireland","Western Europe",6.10379207659843,3.21465728645673,4.29698584911923,3.72804441278833,4.10872100327634,2.57858419668906,3.48942508311057
"19","Belgium","Western Europe",6.10115354976416,3.14694533696656,4.03398576596856,3.7336240085945,3.88744585592538,2.02492031471872,1.69146005749788
"20","United Arab Emirates","Middle East and Northern Africa",6.06949122775299,3.43437221566596,3.53223984260155,3.36961784040405,4.26701221178109,3.46617127341582,2.00907444492378
"21","United Kingdom","Western Europe",6.03958792363132,3.04720616474311,4.03342098411498,3.78675508507711,3.9655938265107,2.88079501916971,3.9463853710036
"22","Oman","Middle East and Northern Africa",6.02727479840476,3.27276828788487,3.39440169355826,3.17603917694976,4.2082848432476,2.92185041330576,1.63763741836491
"23","Venezuela","Latin America and Caribbean",5.9894559137803,2.51270526423664,3.94079676012777,3.00015699273145,2.8537643590427,0.994402970879394,0.444036772846972
"24","Singapore","Southeastern Asia",5.97890180644324,3.66197965355777,3.20043050362299,4.26901537333859,3.60824144697457,4.42086640138901,2.36462315004367
"25","Panama","Latin America and Caribbean",5.96834769910618,2.55912187779973,3.76050584175701,3.31698642921751,3.60544807270684,0.832786660046254,1.85748921550127
"26","Germany","Western Europe",5.93668537709501,3.19531101517382,4.07700331714961,3.71359575797684,4.08876832993541,1.9623041009051,2.14484737358405
"27","Chile","Latin America and Caribbean",5.86632466151462,2.66408261826744,3.5282236160872,3.57498027709077,2.93517126627372,1.15610911846119,2.53627783812592
"28","Qatar","Middle East and Northern Africa",5.81443363377409,4.06757759975762,3.38429837373309,3.31998442099396,4.25923066917812,4.69019697386136,2.47622150350016
"29","France","Western Europe",5.78277131176292,3.07466150744684,3.95466529231014,3.93815366978776,3.65872171052713,1.85476951276321,0.937486985575904
"30","Argentina","Latin America and Caribbean",5.78189180281816,2.53501122627551,3.91654251719346,3.27792925857433,2.99117176945061,0.762174975602202,0.870512769366662
"31","Czech Republic","Central and Eastern Europe",5.72120568563008,2.83692374591062,3.7853876200842,3.51776860069021,3.08361915593027,0.238247057437181,0.812356951659432
"32","Uruguay","Latin America and Caribbean",5.70361550673498,2.5546221853496,3.79313768218611,3.37940295245218,4.01461089401827,2.20621087350765,1.76672052747194
"33","Colombia","Latin America and Caribbean",5.69657943517695,2.21040774417798,3.89128421763055,2.87628163807959,3.55596544282132,0.459964153121556,1.39885647271993
"34","Thailand","Southeastern Asia",5.67723023839234,2.32660568450778,3.96928686696395,3.07502350959331,3.70215202949923,0.286309717968437,4.38107160061137
"35","Saudi Arabia","Middle East and Northern Africa",5.63853184482313,3.35770900632847,3.40102219195301,2.99903274581528,2.06496867296443,2.92185041330576,1.04193939541869
"36","Spain","Western Europe",5.56641211135323,2.95995544375826,4.12224861897534,3.97908458529122,3.05615097563092,0.574775517904631,1.38562887496692
"37","Malta","Western Europe",5.54266536984485,2.90530944614199,4.08534953787475,3.69423372775394,4.01481042075168,1.22052206724794,3.93422206272496
"38","Taiwan","Eastern Asia",5.53914733406583,3.10642404238893,3.37667381870976,3.64464194711852,2.64306412856244,0.730282929829126,1.92910069299174
"39","Kuwait","Middle East and Northern Africa",5.53650880723157,3.73984598921882,3.65834307979822,3.01847805358752,3.69117805916172,2.30062929634569,1.2336635421607
"40","Suriname","Latin America and Caribbean",5.51364157466794,2.39503950979209,3.04982200933485,2.53247027560549,3.96772211166707,1.2247443944348,1.29166731851445
"41","Trinidad and Tobago","Latin America and Caribbean",5.42481117124771,2.91596914536877,3.71356619437054,2.56007678321362,3.71678398994925,0.102413893468471,2.42080243015562
"42","El Salvador","Latin America and Caribbean",5.39138983134702,1.83967639883502,3.21633852583217,2.82048568001791,2.68363456435567,1.05791755217958,0.812813075719881
"43","Guatemala","Latin America and Caribbean",5.38523326873374,1.79393353601312,3.27435417290275,2.68257805830128,3.83975896664054,0.850933683274878,2.08973238294648
"44","Uzbekistan","Central and Eastern Europe",5.27969219536316,1.52181042414945,4.20583633330526,2.4888328397483,4.37768303991213,2.76930761408693,1.73608419474513
"45","Slovakia","Central and Eastern Europe",5.27265612380512,2.81269278175405,3.98481836793741,3.28538259924078,2.11172443749336,0.308229884640636,1.28421729219378
"46","Japan","Eastern Asia",5.26562005224709,3.05772148881106,3.94443646540641,4.12686059660532,3.29983962603486,1.62245168073736,0.81380134451752
"47","South Korea","Eastern Asia",5.26298152541282,2.99484610714162,3.00507873582341,4.01972402937196,2.20862792101916,0.705847334194543,1.4107156982916
"48","Ecuador","Latin America and Caribbean",5.25506594491003,2.07905041217128,3.13463341768086,3.29258610725919,3.23060384954182,1.62514678319706,0.877354630273395
"49","Bahrain","Middle East and Northern Africa",5.2418733107387,3.18530100416177,3.81616823110434,3.11108268846004,3.02562338541929,2.74900450889055,1.31987098958554
"50","Italy","Western Europe",5.23131920340165,3.01055893692736,3.75821533757305,3.97425448742916,1.74492779257585,0.260616407852663,1.73501990527075
"51","Bolivia","Latin America and Caribbean",5.18030768460587,1.63945211606752,3.06993451867624,2.24516273036251,3.81854262398802,0.790563388177673,1.56116061756299
"52","Moldova","Central and Eastern Europe",5.17942817566111,1.43046907366448,3.18562066835132,2.57435888292642,2.18268944567595,0.145086349080334,1.5927091984107
"53","Paraguay","Latin America and Caribbean",5.16975357726881,1.82839107391999,4.09394677275703,2.75223972832903,3.5847638013434,0.740434482427316,2.6029479716282
"54","Kazakhstan","Central and Eastern Europe",5.14952487153945,2.70111484650674,3.52176000154067,2.68020464814492,3.4351187512864,0.759479873142506,0.899096543821458
"55","Slovenia","Central and Eastern Europe",5.14336830892617,2.85136126179339,3.99692980101975,3.63660566360665,4.04739978720853,0.340211767162369,1.92545170050815
"56","Lithuania","Central and Eastern Europe",5.13017567475484,2.76052522436432,3.94547189880464,3.04496031427948,1.41943318147407,0.092621687864907,0.200770607274243
"57","Nicaragua","Latin America and Caribbean",5.12577813003107,1.42750938290851,3.58272506495772,3.09434390104154,3.68958184529444,1.73537647379865,2.11451512356421
"58","Peru","Latin America and Caribbean",5.12226009425205,2.16608457041789,3.05794859267248,3.04033841029079,2.75985377651804,0.538032287704101,1.13894177894082
"59","Belarus","Central and Eastern Europe",5.11258549585975,2.48306023162402,3.86841055256054,3.06494692612247,2.52321507069456,1.71498353185361,0.839724395286364
"60","Poland","Central and Eastern Europe",5.09323629907514,2.70835766697459,4.01459492232896,3.24378546334256,3.53308637739038,0.378392385341405,1.27403052151043
"61","Malaysia","Southeastern Asia",5.07476661123529,2.70669735264807,3.3580360175416,3.01439745366958,3.52656850409901,0.943375697642472,2.51438388322438
"62","Croatia","Central and Eastern Europe",5.06509201284299,2.60486474062163,2.49834390608311,3.28134363809751,1.72145014694468,0.218303299235426,0.413856564180605
"63","Libya","Middle East and Northern Africa",5.06069446811921,2.72255455759264,3.50986820584583,2.93053696147837,2.77129330923351,0.990270480441193,1.39079828098534
"64","Russia","Central and Eastern Europe",5.02727312821853,2.73744926147836,3.87870213300356,2.78671663375819,2.43948035157377,0.269959429712944,0.0151281146715541
"65","Jamaica","Latin America and Caribbean",5.02111656560525,1.94997902017935,3.61152893949033,2.86229100978949,3.3548424955447,0.206534685161417,1.61391896722157
"66","North Cyprus","Western Europe",5.00880344037868,2.9068975728891,3.35756536599695,3.84559067368991,3.26073238628663,1.28286877081559,1.98938508964773
"67","Cyprus","Western Europe",5.00352638671015,2.9070660105744,2.80251031100586,3.84559067368991,2.70505043374161,0.55213665724318,2.3291214940054
"68","Algeria","Middle East and Northern Africa",4.92964763535075,2.26016904892058,3.38153721800448,2.57186055644605,1.90075817136854,1.56163220189688,0.594633733471839
"69","Kosovo","Central and Eastern Europe",4.91557549223467,1.92856337161991,2.54773094150176,2.62873912264922,1.64602904171595,0.425916025380722,2.15214535855124
"70","Turkmenistan","Central and Eastern Europe",4.87951562549972,2.30632097469249,3.84892557861201,2.24374701202363,3.16648925920628,2.77092467556275,1.29075507039355
"71","Mauritius","Sub-Saharan Africa",4.81707049042213,2.42456422977235,3.09127072203373,2.95427106304192,3.72888861177609,0.675662186645941,2.86932442293034
"72","Hong Kong","Eastern Asia",4.81443196358786,3.33516241902489,3.32022701012135,4.21917376005513,3.96446317502138,3.3350994571259,3.00114427640006
"73","Estonia","Central and Eastern Europe",4.7748540610739,2.77137742380287,3.85278492127814,3.22121724746985,2.98545200309287,1.36408119160111,0.659859474116027
"74","Indonesia","Southeastern Asia",4.74846879273125,1.99302688003647,3.41090587439067,2.65626235270801,3.10004685698097,0,3.91772557587206
"75","Vietnam","Southeastern Asia",4.71416794388582,1.52113667340825,2.8623771874854,3.10941713747313,3.95355571359501,0.937985492723078,1.28170860986132
"76","Turkey","Middle East and Northern Africa",4.68954169343268,2.55298593354955,2.96924646489069,3.04679242036509,1.51740080757806,1.4145694443461,0.931481352113327
"77","Kyrgyzstan","Central and Eastern Europe",4.64908428197396,1.14123750547973,3.61193683749569,2.71018456590941,2.89160792947934,0.380189120314536,2.28290092254658
"78","Nigeria","Sub-Saharan Africa",4.63325312096837,1.57453141964801,2.83746403238857,0.666511866189034,2.2835169549588,0.362042097085912,2.07027108970067
"79","Bhutan","Southern Asia",4.62006048679705,1.85382516440013,3.46383848477902,2.3903571376469,3.53867312592584,1.38752858300047,3.64884044223745
"80","Azerbaijan","Central and Eastern Europe",4.5840006200621,2.46373802286759,2.94292135515991,2.66675532392558,2.46282497938266,1.44322736716754,0.592885257906785
"81","Pakistan","Southern Asia",4.56816945905652,1.43275501367925,1.29934340770129,2.14298117731523,0.804890842573292,0.940051737942179,2.5596922065623
"82","Jordan","Middle East and Northern Africa",4.56641044116701,2.17039176265625,3.30686050625328,2.89968262944575,2.70431883571911,1.28403664854812,0.840256540023554
"83","Montenegro","Central and Eastern Europe",4.56641044116701,2.3446044543083,2.84138612859399,3.01968557805304,1.21445271735154,1.28430615879409,1.22697372260745
"84","China","Eastern Asia",4.52067597603976,2.14185360626131,2.97059566598536,3.40013906223928,3.43831117902095,0.249835998013876,0.622229239128996
"85","Zambia","Sub-Saharan Africa",4.51100137764745,1.13185312015593,2.87448862056774,1.24599869331172,3.24743060405934,1.12008458224991,1.48932107804229
"86","Romania","Central and Eastern Europe",4.50660383292368,2.51080432464541,2.77960526916621,3.20160538459892,2.33233449573295,0.0583040498781034,1.04513226384184
"87","Serbia","Central and Eastern Europe",4.50572432397892,2.21502774926047,3.16792417027247,3.11607934142079,1.33729467622056,0.235102771234201,1.46195363441536
"88","Portugal","Western Europe",4.48725463613907,2.7910365079299,3.57491224931652,3.64418392059712,3.42314714728183,0.096844015051765,1.04292766421633
"89","Latvia","Central and Eastern Europe",4.48373660036005,2.67844794657079,3.4377016356661,3.01618792098051,1.97338590232954,0.568846292493299,1.38555285429017
"90","Philippines","Southeastern Asia",4.46174887674118,1.69717811707211,3.24799768640233,2.41979575134064,4.15979984702913,1.10310543675382,1.89983273244627
"91","Somaliland region","Sub-Saharan Africa",4.44767673362511,0.453506436404159,2.98556238510524,1.82681796122393,3.09811809855801,3.58700170035888,3.82520841227768
"92","Morocco","Middle East and Northern Africa",4.40897834005589,1.76809038258297,2.01109405029133,2.53804987141166,2.77282301418965,0.767744854018909,0.545220293589879
"93","Macedonia","Central and Eastern Europe",4.40370128638737,2.21016711891327,3.14495637489353,3.06232368331808,2.22518863989214,0.478560360093462,1.6997463112627
"94","Mozambique","Sub-Saharan Africa",4.37203896437619,0.19991146992337,3.22007236141973,0.380203651538207,2.26376380835128,1.40172278928821,1.69290445035597
"95","Albania","Central and Eastern Europe",4.36148485703913,2.1143020134517,2.52375908949423,3.38627335027321,2.37656292163869,0.57612306913448,1.08496709845437
"96","Bosnia and Herzegovina","Central and Eastern Europe",4.35268976759159,2.00255564051909,2.88402715853932,3.29283593990723,0.61487488345646,0.0203929419450377,1.88592094860258
"97","Lesotho","Sub-Saharan Africa",4.30783481140909,0.903427556364098,3.26641585018298,0.316954352810079,2.11278858007154,1.12331870520155,1.24582685043934
"98","Dominican Republic","Latin America and Caribbean",4.29640119512728,2.15448643265873,3.67742015574139,2.78251111751623,3.83570192306122,1.27873628037739,1.6484323544622
"99","Laos","Southeastern Asia",4.28848561462449,1.42127718855245,2.31569972998909,2.28634347851401,3.96333252353206,2.17845131817277,3.20746439307643
"100","Mongolia","Eastern Asia",4.28672659673498,1.9928343798247,4.08086265981575,2.50948567198605,2.90151775723867,0.239504771918372,2.52616708811931
"101","Swaziland","Sub-Saharan Africa",4.28057003412169,1.71339625991376,3.36622535441852,0.315038969175126,2.03903019762122,0.274900450889055,1.38806153662264
"102","Greece","Western Europe",4.27177494467414,2.7769599299442,2.91593733326662,3.67308123022011,0.512052106839512,0.125501937873206,0
"103","Lebanon","Middle East and Northern Africa",4.25594378366856,2.46794896500006,2.51017294823865,3.49545021746554,2.25571623010377,0.41163198234433,1.66135586950826
"104","Hungary","Central and Eastern Europe",4.22164293482312,2.69726484227133,3.77195836267684,3.16059119154611,2.13573415441361,0.247769752794775,0.973064662290916
"105","Honduras","Latin America and Caribbean",4.21108882748606,1.43249032588807,2.99171223195534,2.89431122751295,2.67019976430611,0.61313580958098,1.75052812332601
"106","Tajikistan","Central and Eastern Europe",4.20932980959655,0.939569471123956,2.68469054099504,2.38919125195606,3.14028474821852,1.35401947575158,1.74649902745871
"107","Tunisia","Middle East and Northern Africa",4.16799288919307,2.12022139496364,1.89606681277876,3.07265009943696,1.74705607773221,0.571182047958369,0.488888972124444
"108","Palestinian Territories","Middle East and Northern Africa",4.14688467451896,1.44055127225594,2.90417104465036,2.74878371003118,1.62940181393184,1.15934324141283,0.855308634018367
"109","Bangladesh","Southern Asia",4.12841498667911,0.956557614812677,1.35252703224679,2.50515523942007,2.7148937525898,1.12915809386422,1.61331080180764
"110","Iran","Middle East and Northern Africa",4.12137891512107,2.42742767042243,1.70837097677217,2.90659466604145,1.99746212816094,0.526712857373375,2.89532349437592
"111","Ukraine","Central and Eastern Europe",4.1169813703973,1.92276430274034,3.77393509916437,2.80603702520641,1.67090337448098,0.266006612772056,1.16121583722607
"112","Iraq","Middle East and Northern Africa",4.11346333461828,2.37133792121788,2.56941228932532,2.50819486997119,0,1.23866909047656,1.36244256856077
"113","South Africa","Sub-Saharan Africa",4.08268052155186,2.21493149915458,3.71714314610989,1.15289439314312,2.20856141210802,0.798109675064824,0.910195562625714
"114","Ghana","Sub-Saharan Africa",4.07476494104906,1.31280331921993,2.13217700434507,1.67104730517263,2.81612031533948,0.391239040399292,1.7550893639305
"115","Zimbabwe","Sub-Saharan Africa",4.0545362353197,0.652094467371609,3.24046726168792,1.39385798217517,1.71998695089968,0.725791092396298,1.44340458929044
"116","Liberia","Sub-Saharan Africa",4.02023538647427,0.171325188475493,2.47776074519706,1.42408773258769,1.89756574363399,0.559862617627643,1.85201572677588
"117","India","Southern Asia",4.01495833280574,1.5520088948709,1.19777680436573,2.14560442011962,2.64612353847471,0.762893669591455,2.01264741673062
"118","Sudan","Sub-Saharan Africa",4.00176569863441,1.25382606683883,3.18172994891555,1.53555473238703,0.670476333166531,1.31700673530508,1.44910614004605
"119","Haiti","Latin America and Caribbean",3.97362141240226,0.641819768568373,2.33135673804113,1.61754147971796,1.62448015450774,1.54294615817631,3.51116699665863
"120","Congo (Kinshasa)","Sub-Saharan Africa",3.97274190345751,0,3.14144217669347,0.408309824442411,1.5034339362394,0.685005208506223,1.88789748619786
"121","Nepal","Southern Asia",3.97010337662324,0.866178765386561,2.71249035889906,2.36816367074625,2.5460941361255,0.530665674314263,2.45516377604277
"122","Ethiopia","Sub-Saharan Africa",3.96834435873373,0.458944567386668,1.89534514707696,1.8343962182144,2.88981218887866,1.35186339378382,1.84920296173645
"123","Sierra Leone","Sub-Saharan Africa",3.96394681400996,0.794640874187454,2.99870925158581,0,2.71622393081253,0.789305673696482,1.63353230182087
"124","Mauritania","Sub-Saharan Africa",3.90150167893237,1.09260713948128,2.72689229616536,1.49374940261544,1.6116439346584,1.56863946829209,1.66485282063836
"125","Kenya","Sub-Saharan Africa",3.88655002687153,0.877584402933946,3.13378624490049,1.72530262857142,2.80767368362515,0.524556775405618,2.85396824622856
"126","Djibouti","Sub-Saharan Africa",3.84257457963379,1.05935272789797,1.85772440027457,1.51111277165404,3.0643315717007,2.52486182099245,1.37544210428356
"127","Armenia","Central and Eastern Europe",3.82586390968345,1.84850734604998,2.43832014575535,3.03921416337462,1.32000235932508,0.35036331976056,0.597142415804308
"128","Botswana","Sub-Saharan Africa",3.81003274867786,2.39073231755373,3.46600348188441,0.198866787837748,3.29185855669849,1.12062360274185,0.795252299392599
"129","Myanmar","Southeastern Asia",3.78804502505899,0.652286967583379,2.22476985156263,2.0089043228685,2.92752274149303,1.70995267392885,6.05033362050074
"130","Georgia","Central and Eastern Europe",3.77924993561145,1.78519883890405,1.20995099098735,3.03654928179556,2.69873208718364,3.44353241275436,0.421686693884977
"131","Malawi","Sub-Saharan Africa",3.77485239088767,0.0385962924599284,1.29065204251008,0.939454034169863,2.86347466006863,0.626790995376776,2.51841297909168
"132","Sri Lanka","Southern Asia",3.75638270304782,2.00979846098695,3.19744971050687,2.94827507948902,3.5732577597168,0.824611515918507,3.10377219000106
"133","Cameroon","Sub-Saharan Africa",3.73967203309748,1.01664174341146,2.78522171093237,0.974430604895095,3.27948789922711,0.51979542772682,1.56739431305579
"134","Bulgaria","Central and Eastern Europe",3.70976872897582,2.43551267931678,3.47070999733092,3.19157043990275,2.03430806493053,0.0783376448285149,0.906242487435157
"135","Egypt","Middle East and Northern Africa",3.6886605143017,2.12183358423721,2.34384469235919,2.56961206261371,1.14980605572691,0.568127598504046,0.858349461088026
"136","Yemen","Middle East and Northern Africa",3.58575796776539,1.31499300912882,2.13653837532549,1.66821586849488,2.36578847803459,0.705577823948574,0.694144799326434
"137","Angola","Sub-Saharan Africa",3.54705957419617,1.82341013094043,2.69965726011492,0.694659677867912,0.690628533240875,0.639817323931976,0.938399233696802
"138","Mali","Sub-Saharan Africa",3.51363823429549,0.627406315212078,3.24831145409876,0.857050899092203,2.58433676002895,1.10966351940575,1.4290366813863
"139","Congo (Brazzaville)","Sub-Saharan Africa",3.50836118062696,1.63302742149969,2.07996605965851,1.29292559236807,2.75785850918395,1.04983224480049,0.941744143473427
"140","Comoros","Sub-Saharan Africa",3.47933738545005,0.57523875782235,2.48733065993829,1.51211210224619,1.52418471651398,1.78775129826542,1.32587662304811
"141","Uganda","Sub-Saharan Africa",3.45734966183118,0.507767433596889,3.55495662382334,1.40993054919891,3.04125297953635,0.652843652487177,2.20961699016779
"142","Senegal","Sub-Saharan Africa",3.4336029203228,0.878234091148671,3.06296887581542,1.81295224925786,2.44566568030946,0.962421088357661,1.58449896532262
"143","Gabon","Sub-Saharan Africa",3.42656684876476,2.55120530659068,2.84047620227433,1.80595693511281,2.1225653900086,0.996379379349838,0.518613056730362
"144","Niger","Sub-Saharan Africa",3.38171189258227,0.166993933710663,2.42432610649441,1.2369630792077,3.17194298991947,1.40495691223985,1.47381285998703
"145","Cambodia","Southeastern Asia",3.35884466001864,1.10779059368465,1.968453020346,2.54471207535932,4.40594932714512,0.651046917514046,3.0681184926093
"146","Tanzania","Sub-Saharan Africa",3.32542332011796,0.686263254960822,3.14608593860069,1.59122577412469,2.18667998034413,0.516291794529215,2.61336280434178
"147","Madagascar","Sub-Saharan Africa",3.23747242564248,0.501078051237874,2.09599958894627,1.94540519149234,1.27590695124162,0.729833746085843,1.62174909692595
"148","Central African Republic","Sub-Saharan Africa",3.23483389880821,0.188890832799525,0,0.278938151533725,3.25088906743843,0.744656809614175,1.81195283013312
"149","Chad","Sub-Saharan Africa",3.22515930041591,0.822769967632377,2.38657985261345,0.624998007840158,1.56302592061766,0.473349828671382,1.39771616256881
"150","Guinea","Sub-Saharan Africa",3.21548470202361,0.419097023550233,1.45823536917528,0.999705341121542,2.5090486726225,1.09052829194191,2.17852453338053
"151","Ivory Coast","Sub-Saharan Africa",3.21460519307885,1.11972560681441,2.41961959104791,0.632284793407915,3.11700662932077,1.61005420942276,1.5329569464919
"152","Burkina Faso","Sub-Saharan Africa",3.15479858483553,0.621101933276604,2.67292425237878,1.12945176300228,2.62663642751174,1.1527851587609,1.65322165709692
"153","Afghanistan","Southern Asia",3.14424447749847,0.769567721604383,0.950245468649238,1.26311222970228,1.55723964534879,0.873123360193046,2.77551490783135
"154","Rwanda","Sub-Saharan Africa",3.04749849357544,0.534380587874121,2.42762066730697,1.78480443757898,3.93739404818885,4.95817999510386,1.72019587330616
"155","Benin","Sub-Saharan Africa",2.93755987548109,0.689752321299157,1.11029837060003,1.32869329981209,3.2223567445609,0.719592356738996,1.38813755729938
"156","Syria","Middle East and Northern Africa",2.64380388793298,1.5958267555751,1.49005141359365,3.00602805996033,1.04312576226405,1.69845357010081,3.58657950798618
